context_sentences,question
i took the scooter and go to the street for long drive.,Why do I usually take scooters?
businessman having a video call on a mobile phone while using laptop in his office .,Why does businessman usually call on phones?
computer hardware business introduced a new version of computer,Why does a business usually introduce in versions?
actor attends the screening for season .,When does a person usually attend screens?
christmas shoppers browse the festive shop windows in the town,Why does a person usually browse windows?
protesters wave flags and placards as they shout slogans .,How does a person usually shout in a slogan?
religious leader kisses a figurine of builder during a mass,Where does a person usually kiss on figurines?
a farmer in a combine harvester harvests a field of wheat,When does a person usually harvest fields?
movie poster advertises the release starring actors,Why does a person usually advertise release?
politicians attend a dinner in honor of president,When does politician usually attend dinners?
filming location successfully launched its first mission on rocket on tuesday .,Where does a location usually launch on missions?
two people are standing on the floor and begin to dance to the loud music when it comes on.,How does a person usually dance to music?
actor plays roulette as she hosts the opening .,Where does a person usually play at roulette?
an officer examines the fuselage of an aircraft on display .,How does a person usually examine the fuselage?
actor attends a party in his honor,When does a person usually attend a party?
actor attends the exclusive gala event during festival hosted by business .,Where does a business usually host an event?
a family is decorating a christmas tree and dancing to music.,How does a family usually decorate the tree?
music executive attends a party .,Where does a person usually attend the party?
a ferry docked at a jetty to load passengers to cross bay,How do passengers usually cross-bay?
demonstrators shout slogans during a protest in support of ethnicity .,Where is the demonstration being held?
a poster advertising a forthcoming film that will form part of an exhibition,Why are posters used for advertising films?
glaciers carve out a deep valley in the mountains,How does a glacier usually carve in the valley?
woman taking pictures of a group of camels,Where is the woman taking pictures of camels?
businessman with spinal cord injury with his colleagues in an office,How did the businessman injury his spinal cord?
a person shines the rim of a tire very quickly with a black rag.,Where is the rim of the tire?
this transitional design features white cabinets with black granite countertops,What room has the white cabinets and black countertops?
black mobile smartphone mock up slightly clockwise rotated with blank screen isolated on white background .,Where is the smartphone?
black mobile smartphone mock up slightly clockwise rotated with blank screen isolated on white background .,Who is presenting the mock-up?
actor arrives to introduce a screening .,Where does the actor introduce a screening?
celebrity was slammed after playing a round of golf with politician,Who slammed the celebrity?
religious leader exchanges gifts with politician during a meeting at his private library .,What gifts were exchanged?
religious leader exchanges gifts with politician during a meeting at his private library .,Why do the religious leader and politician exchange gifts?
poster advertises the live performance of swing artist .,Where is the advertisement posted?
poster advertises the live performance of swing artist .,Why do people advertise their performances?
baked pizza displayed on serving platter for consumption.,Who usually displays the pizza?
the kid looked over at the water on the floor left behind from the goldfish he knocked over.,What is the kid going to do about the water on the floor?
worshippers gather during the festival at temple .,What does a person usually wear during the festival?
worshippers gather during the festival at temple .,What are the worshippers doing at the temple?
illustration of an isolated shield with an icon,What does an isolated microphone shield do?
illustration of an isolated shield with an icon,Who usually isolated the sword?
male farmer walking through cultivated wheat field and examining growth of the crops on windy day,Where is the field located?
male farmer walking through cultivated wheat field and examining growth of the crops on windy day,How does the farmer examine the growth?
christmas wreath with natural decorations hanging on a rustic wooden wall with copy space,What season do people hang up Christmas wreaths?
christmas wreath with natural decorations hanging on a rustic wooden wall with copy space,What types of natural decorations are on the wreath?
mare with foal on a pasture,When do the mare and foal get to go into the barn?
mare with foal on a pasture,Where do horses usually stay that are owned by people?
tv journalist attends her wedding reception at american cuisine restaurant,What color is the journalist wearing at their wedding reception?
tv journalist attends her wedding reception at american cuisine restaurant,What does a tv journalist usually do?
tv journalist attends her wedding reception at american cuisine restaurant,What food does the restaurant service at the reception?
a process in nature that occurs if an organism is better adapted to survive than another .,What happens to the organism that is not as well suited?
strawberries in a stack drizzled with chocolate,Where do you usually find strawberries in a stack drizzled with chocolate?
a man wears boxing gloves and hits a heavy bag.,Where is the man wearing boxing gloves practicing?
a man wears boxing gloves and hits a heavy bag.,Why does the man wear gloves?
aerial view of an industrial port with a crane unloading cargo from a ship,Where is the port?
"i went to drink a glass of beer down at the pub, but i couldn't find a clean shirt to wear.",Where do you usually find clean shirts in your home?
politician discusses the shooting during a meeting with top officials,Where did the meeting between the politician and the top officials happen?
politician discusses the shooting during a meeting with top officials,Which top officials were at the meeting?
a smartphone connected to a charger with the screen showing the battery is charging,When does the phone get charged?
ships conduct a replenishment at sea,What do the ships refuel?
ships conduct a replenishment at sea,Why does a ship get replenished?
crowds gather to celebrate night and watch the burning of an effigy of soldier on a bonfire,When did the soldier die?
a boy is throwing darts into a dartboard and goes and retrieves the missed darts.,Where is the boy?
business people clapping hands during the meeting in modern office,Why are the business people clapping their hands?
business people clapping hands during the meeting in modern office,What were the business people wearing?
stock illustrations of save the trees planet earth featuring,How do you save trees?
stock illustrations of save the trees planet earth featuring,What color are the trees?
my cat is obsessed with the printer so i send her messages during the day,Where is the printer?
small rowboats and yachts moored in a calm marina,When do the yachts plan to go out to sea?
religious leader meets military commander on saturday .,Where was the meeting taking place?
religious leader meets military commander on saturday .,Where did the religious leader meet the military commander?
police use pepper spray to keep protesters back outside a solidarity,What were the protestors protesting against?
"he scribbles a chicago address on a piece of paper, folds it, and tucks it into her jumper.",Where in her jumper does he tuck the piece of paper?
commuters travel into escalator during the evening rush hour .,Where does the escalator go?
commuters travel into escalator during the evening rush hour .,Where are the commuters going during rush hour?
