context_sentence,question
demonstrators shout slogans during a protest in support of ethnicity .,What is the subject of the slogans that the demonstrators are shouting?
demonstrators shout slogans during a protest in support of ethnicity .,Where is the demonstration being held?
a poster advertising a forthcoming film that will form part of an exhibition,How will the poster be hung up?
a poster advertising a forthcoming film that will form part of an exhibition,Why are posters used for advertising films?
glaciers carve out a deep valley in the mountains,How does a glacier usually carve in the valley?
glaciers carve out a deep valley in the mountains,When did the glacier carve out the valley?
woman taking pictures of a group of camels,Why is the woman taking pictures?
woman taking pictures of a group of camels,Where is the woman taking pictures of camels?
businessman with spinal cord injury with his colleagues in an office,How did he get the injury?
businessman with spinal cord injury with his colleagues in an office,How did the businessman injury his spinal cord?
businessman with spinal cord injury with his colleagues in an office,How does the businessman get around with a spinal cord injury?
a person shines the rim of a tire very quickly with a black rag.,Where is the rim of the tire?
a person shines the rim of a tire very quickly with a black rag.,What is the person wiping off of the rim?
the football team performs a dance routine during the saturday .,Where did the team dance?
the football team performs a dance routine during the saturday .,What event were the football players performing at?
an employee in the office happily keeps things close sad colleague,How does the employee help the sad colleague?
an employee in the office happily keeps things close sad colleague,What mood would an employee be if they were close with their colleagues?
an employee in the office happily keeps things close sad colleague,Why was the colleague sad?
this transitional design features white cabinets with black granite countertops,How does a thing usually feature on cabinets?
this transitional design features white cabinets with black granite countertops,Why are they both different colors?
this transitional design features white cabinets with black granite countertops,What room has the white cabinets and black countertops?
black mobile smartphone mock up slightly clockwise rotated with blank screen isolated on white background .,Where is the smartphone?
black mobile smartphone mock up slightly clockwise rotated with blank screen isolated on white background .,Who is presenting the mock-up?
actor arrives to introduce a screening .,What genre of screening is the actor introducing?
actor arrives to introduce a screening .,Where does the actor introduce a screening?
celebrity was slammed after playing a round of golf with politician,Why was the celebrity slammed?
celebrity was slammed after playing a round of golf with politician,Who slammed the celebrity?
he drops his rifle and sprints up the beach to distract the japanese.,Why does he drop his rifle?
he drops his rifle and sprints up the beach to distract the japanese.,How far did he have to run?
religious leader exchanges gifts with politician during a meeting at his private library .,What gifts were exchanged?
religious leader exchanges gifts with politician during a meeting at his private library .,Why do the religious leader and politician exchange gifts?
inside where the designer created an installation to showcase his spring collection .,What does the spring collection usually showcase?
inside where the designer created an installation to showcase his spring collection .,What did the designer showcase in the installation?
poster advertises the live performance of swing artist .,Where is the advertisement posted?
poster advertises the live performance of swing artist .,Why do people advertise their performances?
baked pizza displayed on serving platter for consumption.,What toppings are on the pizza?
baked pizza displayed on serving platter for consumption.,Who usually displays the pizza?
baked pizza displayed on serving platter for consumption.,Why is the pizza displayed?
the kid looked over at the water on the floor left behind from the goldfish he knocked over.,What is the goldfish doing? 
the kid looked over at the water on the floor left behind from the goldfish he knocked over.,What happened to the goldfish?
the kid looked over at the water on the floor left behind from the goldfish he knocked over.,What is the kid going to do about the water on the floor?
worshippers gather during the festival at temple .,What does a person usually wear during the festival?
worshippers gather during the festival at temple .,What do worshippers wear to the festival?
worshippers gather during the festival at temple .,What are the worshippers doing at the temple?
illustration of an isolated shield with an icon,What does an isolated microphone shield do?
illustration of an isolated shield with an icon,Who usually isolated the sword?
illustration of an isolated shield with an icon,What color was the shield?
male farmer walking through cultivated wheat field and examining growth of the crops on windy day,Where is the field located?
